expt_no_true,expt_no,sit_probability,bend_probability,stand_probability,tampered_probability,inaction_probability,w_bl,w_br,w_b_sum,w_b_change,w_fl,w_fr,w_f_sum,w_f_change,v_bidet,v_tissue,label,sit_total,bend_total,stand_total,tampered_total,inaction_total,predicted_label
28,6,0.99999845,1.57E-06,3.56E-10,9.77E-10,2.06E-09,895.53,692.2,1587.73,1.11,4.15,0.09,4.24,-0.03,0,0,0,0.999998946,1.07E-06,2.42E-10,6.64E-10,1.40E-09,0
28,6,0.999999046,9.28E-07,2.69E-10,8.33E-10,2.06E-09,895.85,693.09,1588.94,1.21,4.22,1.51,5.73,1.49,0,0,0,0.999999351,6.31E-07,1.83E-10,5.66E-10,1.40E-09,0
28,6,0.999999404,5.60E-07,2.88E-10,4.69E-10,2.06E-09,896.1,693.56,1589.66,0.72,4.12,1.38,5.5,-0.23,0,0,0,0.999999595,3.81E-07,1.96E-10,3.19E-10,1.40E-09,0
28,6,0.999999881,7.31E-08,2.35E-10,8.54E-11,2.06E-09,896.73,695.57,1592.3,2.64,3.81,1.27,5.08,-0.42,0,0,0,0.999999919,4.97E-08,1.60E-10,5.81E-11,1.40E-09,0
28,6,1,2.15E-08,1.65E-10,1.24E-11,2.06E-09,895.57,692.32,1587.89,-4.41,3.54,1.18,4.72,-0.36,0,0,0,1,1.46E-08,1.12E-10,8.43E-12,1.40E-09,0
28,6,0.999999762,2.77E-07,1.40E-09,2.83E-11,2.06E-09,882.88,666.27,1549.15,-38.74,4.05,1.1,5.15,0.43,0,0,0,0.999999838,1.88E-07,9.52E-10,1.92E-11,1.40E-09,0
28,6,0.514122695,0.000110477,0.000120637,0.485646144,2.06E-09,851.83,619.84,1471.67,-77.48,3.84,1.03,4.87,-0.28,0,0,1,0.349603433,0.320075124,0.320082033,0.650239378,1.40E-09,1
28,6,1.08E-09,1.18E-10,1.36E-08,1,2.06E-09,769.96,536.74,1306.7,-164.97,3.86,0.97,4.83,-0.04,0,0,1,0,0,0,0,0,1
28,6,4.09E-10,5.79E-11,9.77E-09,1,2.06E-09,739.78,518.26,1258.04,-48.66,3.87,0.92,4.79,-0.04,0,0,1,0,0,0,0,0,1
28,6,5.59E-10,7.42E-11,1.12E-08,1,2.06E-09,721.21,510.29,1231.5,-26.54,3.82,0.87,4.69,-0.1,0,0,1,0,0,0,0,0,1
28,6,3.11E-10,2.73E-11,6.16E-09,1,2.06E-09,710.5,505.87,1216.37,-15.13,4.04,0.83,4.87,0.18,0,0,1,0,0,0,0,0,1
28,6,4.96E-10,7.30E-11,1.16E-08,1,2.06E-09,710.5,505.87,1216.37,0,4.04,0.83,4.87,0,0,0,1,0,0,0,0,0,1
28,6,4.48E-10,5.55E-11,1.00E-08,1,2.06E-09,700.71,505.04,1205.75,-10.62,3.75,0.75,4.5,-0.37,0,0,1,0,0,0,0,0,1
